# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\castlevaniaEdit.png	116	116	116
35	textures\Simon.png	116	116	116
38	textures\SimonR.png	3	25	110
20	textures\brick.png	176	224	248
10	textures\enemies.png	3	26	110
3	textures\fire.png	255	255	255
36	textures\scene1.png	125	134	200
34	textures\BrickLeft.png	255	255	255
33	textures\Space.png	255	255	255
37	textures\heart.png	255	255	255
39	textures\money.png	255	255	255
40	textures\SimonAttack.png	255	255	255
41	textures\SimonAttackR.png	255	255	255



# id	left	top	right	bottom	texture_id
[SPRITES]
#BackGround ======
10012	86	40	98	71	0
10013	45	41	60	71	0
# die
10099	36	8	68	23	0
# jump and sit right
10004	284	36	300	67	0
# jump and sit left
10014	4	36	20	67	0
# attack right
10005	160	201	184	231	0
10006	204	201	220	231	0
10007	241	201	263	230	0
# attack left
10015	120	201	144	231	0
10016	84	201	100	231	0
10017	41	201	63	230	0
# sit attack right
10008	160	472	188	503	0
10009	210	476	228	507	0
10010	242	477	265	507	0
# sit attack left
10018	116	472	142	503	0
10019	76	476	94	507	0
10020	39	477	62	507	0
# level up right
10021	164	43	180	73	0
10022	164	123	180	153	0
10023	164	83	180	113	0
10024	164	163	180	193	0
10025	279	84	295	114	0
# level up left
10031	124	43	140	73	0
10032	124	123	140	153	0
10033	124	83	140	113	0
10034	124	163	140	193	0
10035	11	84	27	114	0
# hurt left
10036	84	3	100	32	0
# hurt right
10037	204	3	220	32	0

#weapon -- roi
# item knife
# --right
30007	2	87	18	103	10
# --left
30008	1	18	17	34	10

# item axe
30017	25	102	41	118	10
30018	42	102	58	118	10
30019	59	102	75	118	10
30020	76	102	92	118	10
# item bomerang
30011	52	18	68	34	10
30012	69	18	85	34	10
30013	86	18	102	34	10

# item fire
30016	35	18	51	34	10


#BRICK
20001	1	1	18	18	20

#GOOMBA
30001	5	14	21	29	10
30002	25	14	41	29	10
#die
30003	45	21	61	29	10

#brick with question mark animation
40001	300	117	316	133	20
40002	318	117	334	133	20
40003	336	117	352	133	20
40004	355	117	370	133	20
#Fire=====
50001	1	1	17	31	3
50002	19	1	35	31	3
50003	15	1	23	9	37
50004	1	1	13	11	37

#money
50005	1	1	16	16	39
50006	18	1	32	16	39

# ==== WHIP ====
# right attack lv1
10051	148	245	164	271	0
10052	196	245	212	263	0
10053	238	243	292	254	0
# left attack lv1
10054	98	245	155	271	0
10055	42	245	95	263	0
10056	10	243	34	254	0
# right attack lv2
10061	148	325	164	351	0
10062	196	325	212	343	0
10063	238	323	309	338	0
# left attack lv2
10064	78	325	155	351	0
10065	140	530	207	550	0
10066	0	528	40	540	0
# right attack lv3
10071	148	365	164	391	0
10072	196	365	212	383	0
10073	238	363	309	378	0
# left attack lv3
10074	78	365	155	391	0
10075	140	560	207	580	0
10076	0	558	40	570	0
# right attack lv4
10081	148	405	164	431	0
10082	196	405	212	443	0
10083	238	403	309	418	0
# left attack lv4
10084	78	405	155	431	0
10085	140	600	207	620	0
10086	0	598	40	610	0
# right attack lv5
10091	148	445	164	471	0
10092	196	445	212	483	0
10093	238	443	309	458	0
# left attack lv5
10094	78	445	155	471	0
10095	140	640	207	660	0
10096	0	638	40	658	0


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#====backgroud=====
801	70001	100
802	70002	100
803	70003	100
804	70004	100
805	70005	100
806	70006	100
807	70007	100
808	70008	100
809	70009	100
810	70010	100
811	70010	100
812	70010	100
813	70010	100
814	70014	100
815	70015	100
816	70016	100
817	70017	100
#hang 2
818	70018	100
819	70019	100
820	70020	100
821	70021	100
822	70022	100
823	70023	100
824	70024	100
825	70025	100
826	70026	100
827	70027	100
828	70028	100
829	70029	100
830	70030	100
831	70031	100
832	70032	100
833	70033	100
834	70034	100
#hang 3
835	70035	100
836	70036	100
837	70037	100
838	70038	100
839	70039	100
840	70040	100
841	70041	100
842	70042	100
843	70043	100
844	70044	100
845	70045	100
846	70046	100
847	70047	100
848	70048	100
849	70049	100
850	70050	100
851	70051	100
#hang 4
852	70052	100
853	70053	100
854	70054	100
855	70055	100
856	70056	100
857	70057	100
858	70058	100
859	70059	100
860	70060	100
861	70061	100
862	70062	100
863	70063	100
864	70064	100
865	70065	100
866	70066	100
867	70067	100
868	70068	100
# ====FireColumn =====
#900	60001	100
# ==== SIMON ====
# idle right
400	10001	100
# idle left
401	10011	100
# walk right
500	10001	100	10002	100	10003	100
# walk left
501	10011	100	10012	100	10013	100
# jump and sit right
600	10004	100
# jump and sit left
601	10014	100
# attack right
700	10005	100	10006	100	10007	100
# attack left
701	10015	100	10016	100	10017	100
# die 
599	10099	100
# sit attack right
702	10008	100	10009	100	10010	100
# sit attack left
703	10018	100	10019	100	10020	100
# level up right
704	10021	100	10022	100	10023	100	10024	100	10025	100
# level up left
705	10031	100	10032	100	10033	100	10034	100	10035	100
# hurt left
706	10036	100
# hurt right
707	10037	100

#knife----dao
#--right
#802	30007	100
# --left
#803	30008	100

# bomerang
#810	30011	100
#806	30011	100	30012	100	30013	100

# fire -lua
#809	30016	100


# --attack-tancong
#805	30017	100	30018	100	30019	100	30020	100

# ==== BRICK =========
601	20001	100



# ==== GOOMBA  =========
# walk
701	30001	100	30002	100
# die
702	30003	100
#Fire===
901	50001	100	50002	100
#Fire die
902	50003	100	50004	100
#money 
903	50005	100	50006	100


# ==== WHIP ====
# attack right lv1
750	10051	100	10052	100	10053	100
# attack left lv1
751	10054	100	10055	100	10056	100
# attack right lv2
752	10061	100	10062	100	10063	100
# attack left lv2
753	10064	100	10065	100	10066	100
# attack right lv3
754	10071	100	10072	100	10073	100
# attack left lv3
755	10074	100	10075	100	10076	100
# attack right lv4
756	10081	100	10082	100	10083	100
# attack left lv4
757	10084	100	10085	100	10086	100
# attack right lv5
758	10091	100	10092	100	10093	100
# attack left lv5
759	10094	100	10095	100	10096	100

#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
#backgroung
71	801
72	802
73	803
74	804
75	805
76	806
77	807
78	808
79	809
80	810
81	811
82	812
83	813
84	814
85	815
86	816
87	817
#hang 2
88	818
89	819
90	820
91	821
92	822
93	823
94	824
95	825
96	826
97	827
98	828
99	829
100	830
101	831
102	832
103	833
104	834
#hang 3
105	835
106	836
107	837
108	838
109	839
110	840
111	841
112	842
113	843
114	844
115	845
116	846
117	847
118	848
119	849
120	850
121	851
#hang 4
122	852
123	853
124	854
125	855
126	856
127	857
128	858
129	859
130	860
131	861
132	862
133	863
134	864
135	865
136	866
137	867
138	868


# ==== SIMON ====
1	400	401	500	501	600	601	600	601	700	701	599	702	703	704	705	710	711	712	713	714	715	716	717	718	719	720	721	706	707

# ==== WEAPON ====
#48	802	803	805	806	809
# ==== WHIP ====
#49	750	751	752	753	754	755	756	757	758	759	

# BRICK 
2	601

# GOOMBA
3	701	702
#FireCol ====
6	901	902	903

# ==== WHIP ====
49	750	751	752	753	754	755	756	757	758	759


[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba

#background
7	-110	0	71
7	-65	0	72
7	-20	0	73
7	25	0	74
7	70	0	75
7	115	0	76
7	160	0	77
7	205	0	78
7	250	0	79
7	295	0	80
7	340	0	81
7	385	0	82
7	430	0	83
7	475	0	84
7	520	0	85
7	565	0	86
7	610	0	87
#hang2
7	-110	48	88
7	-65	48	89
7	-20	48	90
7	25	48	91
7	70	48	92
7	115	48	93
7	160	48	94
7	205	48	95
7	250	48	96
7	295	48	97
7	340	48	98
7	385	48	99
7	430	48	100
7	475	48	101
7	520	48	102
7	565	48	103
7	610	48	104
#hang3
7	-110	96	105
7	-65	96	106
7	-20	96	107
7	25	96	108
7	70	96	109
7	115	96	110
7	160	96	111
7	205	96	112
7	250	96	113
7	295	96	114
7	340	96	115
7	385	96	116
7	430	96	117
7	475	96	118
7	520	96	119
7	565	96	120
7	610	96	121
#hang4
7	-110	144	122
7	-65	144	123
7	-20	144	124
7	25	144	125
7	70	144	126
7	115	144	127
7	160	144	128
7	205	144	129
7	250	144	130
7	295	144	131
7	340	144	132
7	385	144	133
7	430	144	134
7	475	144	135
7	520	144	136
7	565	144	137
7	610	144	138


# ==== SIMON ====
# type	x	y	ani_set_id
0	17	100	1

# GOOMBA
2	200	135	3
2	260	135	3
2	320	135	3
2	480	135	3
2	500	135	3

# BRICK 
# --- platform (hint: I created the list using Excel!) ----
1	-112	150	2
1	-96	150	2
1	-80	150	2
1	-64	150	2
1	-48	150	2
1	-32	150	2
1	-16	150	2
1	0	150	2
1	16	150	2
1	32	150	2
1	48	150	2
1	64	150	2
1	80	150	2
1	96	150	2
1	112	150	2
1	128	150	2
1	144	150	2
1	160	150	2
1	176	150	2
1	192	150	2
1	208	150	2
1	224	150	2
1	240	150	2
1	256	150	2
1	272	150	2
1	288	150	2
1	304	150	2
1	320	150	2
1	336	150	2
1	352	150	2
1	368	150	2
1	384	150	2
1	400	150	2
1	416	150	2
1	432	150	2
1	448	150	2
1	464	150	2
1	480	150	2
1	496	150	2
1	512	150	2
1	528	150	2
1	544	150	2
1	560	150	2
1	576	150	2
1	592	150	2
1	608	150	2
1	624	150	2
1	640	150	2


# ---- brick group 1 ----
#1	100	74	2
#1	100	90	22
#1	84	90	22

# ---- brick group 2 ----
#1	160	74	2
#1	160	90	22
#1	144	90	22

# ---- brick group 3 ----
#1	220	74	2
#1	220	90	22
#1	204	90	22
#FireCol 
5	16	120	6
5	208	120	6
5	512	120	6
# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
50	600	98	0	616	150	2

